ARC_CODE,DESCRIPTION,ARC_2DIGIT,CATEGORY_NAME,SUBCATEGORY
2.1111,Control pressure on steamer operations,2.1,Combustion Systems,Furnaces/Ovens - Operations
2.1112,Heat oil to proper temperature for good atomization,2.1,Combustion Systems,Furnaces/Ovens - Operations
2.1113,Reduce combustion air flow to optimum,2.1,Combustion Systems,Furnaces/Ovens - Operations
2.1114,Limit and control secondary combustion air in furnace,2.1,Combustion Systems,Furnaces/Ovens - Operations
2.1115,Eliminate combustible gas in flue gas,2.1,Combustion Systems,Furnaces/Ovens - Operations
2.1116,Improve combustion control capability,2.1,Combustion Systems,Furnaces/Ovens - Operations
2.1117,Relocate oven/furnace to more efficient location,2.1,Combustion Systems,Furnaces/Ovens - Operations
2.1121,Use insulation in furnaces to facilitate heating/cooling,2.1,Combustion Systems,Furnaces/Ovens - Hardware
2.1122,Re-size charging openings or add a movable door on equipment,2.1,Combustion Systems,Furnaces/Ovens - Hardware
2.1123,Install automatic stack damper,2.1,Combustion Systems,Furnaces/Ovens - Hardware
2.1124,Replace direct fired equipment with steam heat,2.1,Combustion Systems,Furnaces/Ovens - Hardware
2.1125,Convert to oxy-fuel burners,2.1,Combustion Systems,Furnaces/Ovens - Hardware
2.1131,"Repair faulty insulation in furnaces, boilers, etc.",2.1,Combustion Systems,Furnaces/Ovens - Maintenance
2.1132,Repair faulty louvers and dampers,2.1,Combustion Systems,Furnaces/Ovens - Maintenance
2.1133,Adjust burners for efficient operation,2.1,Combustion Systems,Furnaces/Ovens - Maintenance
2.1134,Eliminate leaks in combustible gas lines,2.1,Combustion Systems,Furnaces/Ovens - Maintenance
2.1135,Repair furnaces and oven doors so that they seal efficiently,2.1,Combustion Systems,Furnaces/Ovens - Maintenance
2.1211,Move boiler to more efficient location,2.1,Combustion Systems,Boilers - Operation
2.1212,Operate boilers on high fire setting,2.1,Combustion Systems,Boilers - Operation
2.1213,Direct warmest air to combustion intake,2.1,Combustion Systems,Boilers - Operation
2.1221,Replace obsolete burners with more efficient ones,2.1,Combustion Systems,Boilers - Hardware
2.1222,Install turbulators,2.1,Combustion Systems,Boilers - Hardware
2.1223,Install smaller boiler (increase high fire duty cycle),2.1,Combustion Systems,Boilers - Hardware
2.1224,Replace boiler,2.1,Combustion Systems,Boilers - Hardware
2.1231,Establish burner maintenance schedule for boilers,2.1,Combustion Systems,Boilers - Maintenance
2.1232,Keep boiler tubes clean,2.1,Combustion Systems,Boilers - Maintenance
2.1233,Analyze flue gas for proper air/fuel ratio,2.1,Combustion Systems,Boilers - Maintenance
2.1241,Reduce excessive boiler blowdown,2.1,Combustion Systems,Boilers - Blowdown
2.1242,Minimize boiler blowdown with better feedwater treatment,2.1,Combustion Systems,Boilers - Blowdown
2.1243,Use heat from boiler blowdown to preheat boiler feed water,2.1,Combustion Systems,Boilers - Blowdown
2.1311,Replace electrically-operated equipment with fossil fuel equipment,2.1,Combustion Systems,Fuel Switching - Electric to Fossil
2.1321,Replace fossil fuel equipment with electrical equipment,2.1,Combustion Systems,Fuel Switching - Fossil to Electric
2.1331,Burn a less expensive grade of fuel,2.1,Combustion Systems,Fuel Switching - Alternate Fuel
2.1332,Convert combustion equipment to burn natural gas,2.1,Combustion Systems,Fuel Switching - Alternate Fuel
2.1333,Convert combustion equipment to burn oil,2.1,Combustion Systems,Fuel Switching - Alternate Fuel
2.1335,"Replace gasoline with diesel, LPG, or natural gas",2.1,Combustion Systems,Fuel Switching - Alternate Fuel
2.1336,Install equipment to utilize waste fuel,2.1,Combustion Systems,Fuel Switching - Alternate Fuel
2.1391,Replace purchased steam with electric heating,2.1,Combustion Systems,Fuel Switching - Misc
2.1392,Replace purchased steam with other energy source,2.1,Combustion Systems,Fuel Switching - Misc
2.1393,Use steam sparging or injections in place of indirect heating,2.1,Combustion Systems,Fuel Switching - Misc
2.1394,Replace steam jets on vacuum system with electric motor driven vacuum pumps,2.1,Combustion Systems,Fuel Switching - Misc
2.2111,Install steam trap,2.2,Thermal Systems,Steam - Traps
2.2112,Use correct size steam traps,2.2,Thermal Systems,Steam - Traps
2.2113,Repair or replace steam traps,2.2,Thermal Systems,Steam - Traps
2.2114,Shut off steam traps on superheated steam lines when not in use,2.2,Thermal Systems,Steam - Traps
2.2121,Increase amount of condensate returned,2.2,Thermal Systems,Steam - Condensate
2.2122,Install/repair insulation on condensate lines,2.2,Thermal Systems,Steam - Condensate
2.2123,Insulate feedwater tank,2.2,Thermal Systems,Steam - Condensate
2.2124,Install deaerator in place of condensate tank,2.2,Thermal Systems,Steam - Condensate
2.2126,Lower operating pressure of condenser (steam),2.2,Thermal Systems,Steam - Condensate
2.2127,Flash condensate to produce lower pressure steam,2.2,Thermal Systems,Steam - Condensate
2.2128,Use steam condensate for hot water supply (non-potable),2.2,Thermal Systems,Steam - Condensate
2.2134,Eliminate leaks in high pressure reducing stations,2.2,Thermal Systems,Steam - Leaks/Insulation
2.2135,Repair and eliminate steam leaks,2.2,Thermal Systems,Steam - Leaks/Insulation
2.2136,Install/repair insulation on steam lines,2.2,Thermal Systems,Steam - Leaks/Insulation
2.2141,Operate distillation columns efficiently,2.2,Thermal Systems,Steam - Distillation
2.2151,Clean steam coils in processing tanks,2.2,Thermal Systems,Steam - Maintenance
2.2152,Maintain steam jets used for vacuum system,2.2,Thermal Systems,Steam - Maintenance
2.2153,Close off unneeded steam lines,2.2,Thermal Systems,Steam - Maintenance
2.2161,Optimize operation of multi-stage vacuum steam jets,2.2,Thermal Systems,Steam - Operations
2.2162,Reduce excess steam bleeding,2.2,Thermal Systems,Steam - Operations
2.2163,Use minimum steam operating pressure,2.2,Thermal Systems,Steam - Operations
2.2164,Turn off steam tracing during mild weather,2.2,Thermal Systems,Steam - Operations
2.2165,Substitute air for steam to atomize oil,2.2,Thermal Systems,Steam - Operations
2.2191,Substitute hot process fluids for steam,2.2,Thermal Systems,Steam - Misc
2.2192,Use heat exchange fluids instead of steam in pipeline tracing systems,2.2,Thermal Systems,Steam - Misc
2.2211,Use optimum temperature,2.2,Thermal Systems,Heating - Operation
2.2212,Use minimum safe oven ventilation,2.2,Thermal Systems,Heating - Operation
2.2221,"Use immersion heating in tanks, melting pots, etc.",2.2,Thermal Systems,Heating - Hardware
2.2222,Convert liquid heaters from underfiring to immersion or submersion heating,2.2,Thermal Systems,Heating - Hardware
2.2223,Enhance sensitivity of temperature control and cutoff,2.2,Thermal Systems,Heating - Hardware
2.2311,Heat treat parts only to required specifications or standards,2.2,Thermal Systems,Heat Treating
2.2312,Minimize non-essential material in heat treatment process,2.2,Thermal Systems,Heat Treating
2.2313,Use batch firing with kiln furniture specifically designed,2.2,Thermal Systems,Heat Treating
2.2314,Replace heat treating oven with more efficient unit,2.2,Thermal Systems,Heat Treating
2.2414,Use waste heat from hot flue gases to preheat,2.2,Thermal Systems,Heat Recovery - Flue Gas Recuperation
2.2421,Install waste heat boiler to provide direct power,2.2,Thermal Systems,Heat Recovery - Flue Gas Other
2.2422,Use waste heat from hot flue gases to generate steam,2.2,Thermal Systems,Heat Recovery - Flue Gas Other
2.2423,Install waste heat boiler to produce steam,2.2,Thermal Systems,Heat Recovery - Flue Gas Other
2.2424,Use heat in flue gases to preheat products or materials,2.2,Thermal Systems,Heat Recovery - Flue Gas Other
2.2425,Use flue gases to heat process or service water,2.2,Thermal Systems,Heat Recovery - Flue Gas Other
2.2426,Use waste heat from flue gases to heat space conditioning air,2.2,Thermal Systems,Heat Recovery - Flue Gas Other
2.2427,Use waste heat from hot flue gases to preheat incoming fluids,2.2,Thermal Systems,Heat Recovery - Flue Gas Other
2.2428,"Use flue gases in radiant heater for space heating, ovens, etc.",2.2,Thermal Systems,Heat Recovery - Flue Gas Other
2.2437,Recover waste heat from equipment,2.2,Thermal Systems,Heat Recovery - Specific Equipment
